M,N,N_DRONES,Value Iteration Time,Policy Iteration Time,Linear Programming Time,Best Algorithm
3,3,2,0.0034770965576171875,0.004641056060791016,0.004042863845825195,Value Iteration
3,3,3,0.0020301342010498047,0.001913309097290039,0.0035588741302490234,Policy Iteration
3,3,4,0.0032188892364501953,0.01430201530456543,0.007235050201416016,Value Iteration
3,3,5,0.3065469264984131,0.0072667598724365234,0.014969110488891602,Policy Iteration
3,4,2,0.016185998916625977,0.005002021789550781,0.010175943374633789,Policy Iteration
3,4,3,0.022655248641967773,0.027253150939941406,0.015188932418823242,Linear Programming
3,4,4,0.011616945266723633,0.017935991287231445,0.006680965423583984,Linear Programming
3,4,5,0.007980108261108398,0.018032073974609375,0.009913921356201172,Value Iteration
3,5,2,0.012559175491333008,0.018873214721679688,0.023097991943359375,Value Iteration
3,5,3,0.02822089195251465,0.013416290283203125,0.031710147857666016,Policy Iteration
3,5,4,0.007886886596679688,0.014505863189697266,0.02334904670715332,Value Iteration
3,5,5,0.017800092697143555,0.018698930740356445,0.03222203254699707,Value Iteration
3,6,2,0.026623010635375977,0.017280101776123047,0.06576013565063477,Policy Iteration
3,6,3,0.016846895217895508,0.04298090934753418,0.02119612693786621,Value Iteration
3,6,4,0.030910968780517578,0.0337071418762207,0.03237414360046387,Value Iteration
3,6,5,0.025918960571289062,0.038931846618652344,0.036787986755371094,Value Iteration
3,7,2,0.039664268493652344,0.041864871978759766,0.1202397346496582,Value Iteration
3,7,3,0.028477907180786133,0.07063603401184082,0.10420727729797363,Value Iteration
3,7,4,0.03665304183959961,0.054203033447265625,0.06625890731811523,Value Iteration
3,7,5,0.034963130950927734,0.0747220516204834,0.07184886932373047,Value Iteration
3,8,2,0.05785489082336426,0.19492721557617188,0.17119789123535156,Value Iteration
3,8,3,0.0427398681640625,0.061699867248535156,0.1314239501953125,Value Iteration
3,8,4,0.03976297378540039,0.06006193161010742,0.17553305625915527,Value Iteration
3,8,5,0.04574704170227051,0.11571145057678223,0.15828299522399902,Value Iteration
4,3,2,0.004844188690185547,0.004065990447998047,0.008765935897827148,Policy Iteration
4,3,3,0.006020069122314453,0.014931917190551758,0.01595592498779297,Value Iteration
4,3,4,0.509310245513916,0.013994932174682617,0.013800382614135742,Linear Programming
4,3,5,0.5368378162384033,0.030163049697875977,0.010024070739746094,Linear Programming
4,4,2,0.010495185852050781,0.014575004577636719,0.03608870506286621,Value Iteration
4,4,3,0.02628493309020996,0.02754974365234375,0.04165005683898926,Value Iteration
4,4,4,0.0146331787109375,0.029547929763793945,0.03748822212219238,Value Iteration
4,4,5,0.01996612548828125,0.020245075225830078,0.034854888916015625,Value Iteration
4,5,2,0.03121781349182129,0.031378984451293945,0.11288809776306152,Value Iteration
4,5,3,0.04027915000915527,0.05107283592224121,0.06786108016967773,Value Iteration
4,5,4,0.04590916633605957,0.03889179229736328,0.06077098846435547,Policy Iteration
4,5,5,0.024641990661621094,0.034291982650756836,0.052549123764038086,Value Iteration
4,6,2,0.07148599624633789,0.09544587135314941,0.18630504608154297,Value Iteration
4,6,3,0.04576277732849121,0.0686180591583252,0.15265798568725586,Value Iteration
4,6,4,0.052514076232910156,0.08156013488769531,0.1181938648223877,Value Iteration
4,6,5,0.03663516044616699,0.06160306930541992,0.12150216102600098,Value Iteration
4,7,2,0.09565997123718262,0.1748828887939453,0.2967841625213623,Value Iteration
4,7,3,0.0772850513458252,0.10970783233642578,0.2663857936859131,Value Iteration
4,7,4,0.07254695892333984,0.16702985763549805,0.25669193267822266,Value Iteration
4,7,5,0.07263398170471191,0.15047597885131836,0.2841150760650635,Value Iteration
4,8,2,0.17370104789733887,0.4237790107727051,0.4241652488708496,Value Iteration
4,8,3,0.15864801406860352,0.3261680603027344,0.4484720230102539,Value Iteration
4,8,4,0.12708377838134766,0.49321484565734863,0.3824429512023926,Value Iteration
4,8,5,0.11809515953063965,0.34984922409057617,0.42678308486938477,Value Iteration
5,3,2,0.009731054306030273,0.018440961837768555,0.03354477882385254,Value Iteration
5,3,3,0.011329174041748047,0.06535506248474121,0.03536796569824219,Value Iteration
5,3,4,0.009692907333374023,0.026643991470336914,0.017332077026367188,Value Iteration
5,3,5,0.02314615249633789,0.02652120590209961,0.025669097900390625,Value Iteration
5,4,2,0.031355857849121094,0.0439908504486084,0.09484386444091797,Value Iteration
5,4,3,0.023669004440307617,0.03678703308105469,0.06586503982543945,Value Iteration
